iter	Passed	Remaining
455	947	1129
456	948	1127
457	950	1124
458	951	1121
459	953	1119
460	955	1116
461	956	1114
462	958	1111
463	959	1108
464	961	1105
465	962	1103
466	964	1100
467	965	1097
468	968	1096
469	970	1094
470	972	1091
471	976	1092
472	988	1101
473	993	1102
474	995	1100
475	999	1100
476	1001	1098
477	1005	1097
478	1007	1095
479	1009	1093
480	1011	1091
481	1015	1090
482	1017	1089
483	1020	1087
484	1022	1085
485	1025	1084
486	1029	1084
487	1032	1082
488	1034	1081
489	1036	1078
490	1038	1076
491	1040	1073
492	1043	1072
493	1045	1070
494	1047	1068
495	1049	1066
496	1051	1064
497	1053	1062
498	1056	1060
499	1058	1058
500	1061	1057
501	1064	1055
502	1066	1053
503	1068	1051
504	1075	1053
505	1077	1052
506	1084	1054
507	1091	1057
508	1096	1057
509	1098	1055
510	1101	1053
511	1107	1055
512	1115	1058
513	1122	1061
514	1126	1061
515	1129	1059
516	1131	1056
517	1133	1055
518	1135	1052
519	1137	1049
520	1139	1047
521	1141	1044
522	1142	1042
523	1144	1039
524	1146	1037
525	1148	1035
526	1150	1032
527	1152	1029
528	1153	1027
529	1155	1024
530	1156	1021
531	1158	1018
532	1159	1016
533	1161	1013
534	1164	1011
535	1165	1009
536	1167	1006
537	1169	1004
538	1171	1001
539	1173	999
540	1174	996
541	1176	994
542	1179	992
543	1181	990
544	1183	987
545	1185	985
546	1186	982
547	1188	980
548	1190	977
549	1191	975
550	1194	973
551	1196	970
552	1198	968
553	1199	965
554	1201	963
555	1202	960
556	1204	957
557	1205	955
558	1207	952
559	1209	950
560	1210	947
561	1212	945
562	1214	942
563	1215	939
564	1217	937
565	1218	934
566	1220	931
567	1222	929
568	1224	927
569	1225	924
570	1227	922
571	1228	919
572	1230	916
573	1231	914
574	1233	911
575	1235	909
576	1238	907
577	1239	905
578	1241	902
579	1243	900
580	1244	897
581	1246	895
582	1247	892
583	1249	890
584	1251	887
585	1253	885
586	1254	882
587	1256	880
588	1257	877
589	1259	875
590	1261	872
591	1262	870
592	1264	868
593	1268	866
594	1269	864
595	1271	861
596	1273	859
597	1274	857
598	1276	854
599	1278	852
600	1279	849
601	1282	847
602	1284	845
603	1286	843
604	1288	841
605	1290	838
606	1291	836
607	1293	834
608	1296	832
609	1298	830
610	1300	827
611	1302	825
612	1304	823
613	1306	821
614	1307	818
615	1309	816
616	1312	814
617	1314	812
618	1316	810
619	1318	807
620	1320	805
621	1321	803
622	1323	800
623	1326	799
624	1328	797
625	1330	794
626	1332	792
627	1334	790
628	1336	788
629	1337	785
630	1340	783
631	1342	781
632	1344	779
633	1346	777
634	1348	775
635	1350	772
636	1352	770
637	1354	768
638	1357	766
639	1359	764
640	1360	762
641	1362	759
642	1364	757
643	1366	755
644	1368	753
645	1371	751
646	1373	749
647	1375	747
648	1378	745
649	1379	743
650	1381	740
651	1383	738
652	1387	737
653	1389	734
654	1391	733
655	1394	731
656	1396	729
657	1398	726
658	1401	725
659	1403	723
660	1407	721
661	1408	719
662	1410	717
663	1412	714
664	1415	712
665	1417	710
666	1419	708
