iter	Passed	Remaining
401	16293	24237
402	16338	24204
403	16377	24161
404	16415	24116
405	16456	24076
406	16498	24038
407	16540	23999
408	16581	23959
409	16622	23919
410	16661	23877
411	16702	23837
412	16743	23797
413	16783	23756
414	16823	23715
415	16865	23675
416	16907	23638
417	16948	23598
418	16990	23559
419	17031	23520
420	17071	23478
421	17110	23435
422	17148	23392
423	17187	23348
424	17228	23308
425	17267	23266
426	17307	23224
427	17346	23182
428	17389	23145
429	17428	23102
430	17466	23059
431	17506	23018
432	17547	22977
433	17585	22934
434	17626	22894
435	17665	22851
436	17705	22809
437	17748	22773
438	17791	22735
439	17833	22696
440	17873	22656
441	17913	22615
442	17954	22574
443	17990	22528
444	18029	22486
445	18069	22444
446	18110	22404
447	18147	22360
448	18187	22318
449	18228	22279
450	18270	22240
451	18313	22203
452	18352	22160
453	18394	22121
454	18434	22081
455	18475	22040
456	18512	21996
457	18551	21953
458	18591	21912
459	18629	21869
460	18670	21829
461	18716	21795
462	18762	21760
463	18802	21719
464	18841	21677
465	18892	21649
466	18940	21617
467	18980	21576
468	19019	21534
469	19057	21490
470	19096	21448
471	19134	21405
472	19175	21365
473	19217	21325
474	19257	21284
475	19297	21242
476	19337	21202
477	19378	21161
478	19417	21119
479	19458	21080
480	19502	21042
481	19539	20999
482	19581	20959
483	19620	20918
484	19660	20876
485	19699	20834
486	19739	20793
487	19777	20750
488	19815	20707
489	19859	20669
490	19902	20632
491	19942	20590
492	19982	20549
493	20021	20507
494	20060	20465
495	20101	20426
496	20145	20389
497	20185	20347
498	20226	20307
499	20266	20266
500	20304	20223
501	20343	20181
502	20383	20140
503	20420	20096
504	20458	20053
505	20497	20011
506	20535	19968
507	20577	19929
508	20617	19888
509	20656	19846
510	20697	19806
511	20735	19763
512	20776	19723
513	20815	19682
514	20854	19639
515	20892	19597
516	20933	19556
517	20974	19516
518	21014	19476
519	21053	19433
520	21091	19390
521	21130	19349
522	21170	19308
523	21222	19278
524	21270	19244
525	21315	19208
526	21359	19171
527	21411	19140
528	21453	19101
529	21491	19058
530	21532	19018
531	21572	18977
532	21612	18935
533	21653	18895
534	21693	18855
535	21731	18812
536	21770	18770
537	21810	18729
538	21849	18687
539	21889	18646
540	21929	18605
541	21973	18567
542	22018	18530
543	22057	18489
544	22096	18447
545	22137	18407
546	22178	18367
547	22219	18326
548	22260	18286
549	22302	18247
550	22342	18206
551	22380	18164
552	22418	18121
553	22458	18080
554	22498	18039
555	22538	17998
556	22578	17957
557	22617	17915
558	22658	17875
559	22698	17834
560	22738	17793
561	22777	17751
562	22818	17711
563	22861	17673
564	22901	17632
565	22941	17591
566	22980	17549
567	23019	17507
568	23058	17465
569	23095	17423
570	23137	17383
571	23179	17344
572	23222	17305
573	23263	17264
574	23303	17223
575	23342	17182
576	23381	17141
577	23421	17099
578	23459	17057
579	23499	17016
580	23540	16976
581	23582	16937
582	23621	16895
583	23661	16854
584	23700	16813
585	23740	16772
586	23785	16734
587	23828	16695
588	23867	16654
589	23908	16614
590	23948	16573
591	23988	16532
592	24027	16490
593	24066	16449
594	24107	16409
595	24147	16368
596	24188	16328
597	24227	16287
598	24267	16245
599	24306	16204
600	24345	16163
601	24384	16121
602	24425	16081
603	24465	16040
604	24503	15997
605	24541	15955
606	24581	15915
607	24619	15873
608	24657	15831
609	24695	15788
610	24734	15747
611	24772	15705
612	24812	15664
613	24851	15623
614	24891	15582
615	24934	15543
616	24973	15502
617	25013	15461
618	25059	15424
619	25100	15383
620	25137	15341
621	25176	15299
622	25216	15259
623	25256	15218
624	25295	15177
625	25338	15138
626	25377	15097
627	25417	15056
628	25458	15016
629	25498	14975
630	25540	14935
631	25578	14893
632	25618	14853
633	25658	14812
634	25697	14771
635	25735	14729
636	25774	14687
637	25817	14648
638	25858	14608
639	25905	14571
640	25947	14532
641	25987	14491
642	26025	14449
643	26065	14408
644	26104	14367
645	26145	14327
646	26186	14287
647	26226	14246
648	26267	14206
649	26306	14164
650	26346	14124
651	26388	14084
652	26428	14044
653	26469	14003
654	26510	13963
655	26551	13923
656	26590	13882
657	26630	13841
658	26670	13800
659	26708	13758
660	26749	13718
661	26789	13677
662	26827	13636
663	26865	13594
664	26904	13553
665	26942	13511
666	26983	13471
667	27022	13430
668	27060	13388
669	27100	13348
670	27148	13311
671	27185	13269
672	27225	13228
673	27267	13188
674	27307	13148
675	27353	13110
676	27396	13071
677	27438	13031
678	27478	12990
679	27517	12949
680	27557	12908
681	27595	12867
682	27634	12826
683	27674	12785
684	27715	12744
685	27756	12704
686	27796	12663
687	27837	12623
688	27875	12582
689	27913	12540
690	27951	12499
691	27991	12458
692	28028	12416
693	28067	12375
694	28105	12333
695	28142	12292
696	28184	12252
697	28226	12212
698	28266	12171
699	28307	12131
700	28347	12090
701	28389	12051
702	28434	12012
703	28472	11971
704	28510	11930
705	28548	11888
706	28588	11847
707	28626	11806
708	28665	11765
709	28703	11723
710	28745	11684
711	28786	11644
712	28826	11603
713	28866	11562
714	28904	11521
715	28943	11480
716	28980	11438
717	29021	11398
718	29058	11356
719	29097	11315
720	29140	11276
721	29180	11235
722	29221	11195
723	29261	11155
724	29301	11114
725	29341	11073
726	29379	11032
727	29418	10991
728	29459	10951
729	29501	10911
730	29542	10871
731	29581	10830
732	29622	10790
733	29663	10749
734	29703	10709
735	29743	10668
736	29781	10627
737	29822	10587
738	29863	10547
739	29905	10507
740	29943	10466
741	29981	10424
742	30021	10384
743	30060	10343
744	30099	10302
745	30144	10263
746	30185	10223
747	30226	10183
748	30267	10143
749	30306	10102
750	30345	10061
751	30384	10020
752	30422	9979
753	30461	9938
754	30508	9899
755	30549	9859
756	30590	9819
757	30629	9778
758	30668	9738
759	30709	9697
760	30747	9656
761	30789	9616
762	30830	9576
763	30870	9536
764	30912	9495
765	30949	9454
766	30987	9413
767	31024	9371
768	31069	9332
769	31108	9292
770	31149	9251
771	31189	9211
772	31227	9170
773	31266	9129
774	31306	9088
775	31345	9048
776	31383	9007
777	31422	8966
778	31463	8926
779	31502	8885
780	31541	8844
781	31581	8804
782	31620	8763
783	31659	8722
784	31697	8681
785	31734	8640
786	31775	8599
787	31816	8559
788	31862	8520
789	31909	8482
790	31954	8443
791	31993	8402
792	32032	8361
793	32071	8320
794	32109	8279
795	32149	8239
796	32191	8199
797	32230	8158
798	32270	8118
799	32311	8077
800	32351	8037
801	32392	7997
802	32432	7956
803	32475	7916
804	32514	7876
805	32556	7836
806	32597	7795
807	32637	7755
808	32675	7714
809	32718	7674
810	32759	7634
811	32805	7595
812	32845	7554
813	32885	7514
814	32926	7474
815	32976	7435
816	33017	7395
817	33055	7354
818	33093	7313
819	33134	7273
820	33174	7232
821	33215	7192
822	33255	7152
823	33295	7111
824	33336	7071
825	33380	7031
826	33421	6991
827	33460	6950
828	33500	6910
829	33542	6870
830	33581	6829
831	33621	6789
832	33661	6748
833	33709	6709
834	33748	6668
835	33787	6628
836	33827	6587
837	33865	6546
838	33902	6505
839	33941	6465
840	33981	6424
841	34021	6384
842	34059	6343
843	34098	6302
844	34139	6262
845	34188	6223
846	34234	6184
847	34275	6143
848	34316	6103
849	34359	6063
850	34407	6024
851	34448	5984
852	34489	5943
853	34529	5903
854	34570	5862
855	34610	5822
856	34650	5781
857	34691	5741
858	34729	5700
859	34769	5660
860	34814	5620
861	34857	5580
862	34900	5540
863	34946	5500
864	34988	5460
865	35027	5420
866	35069	5379
867	35111	5339
868	35159	5300
869	35202	5260
870	35244	5219
871	35284	5179
872	35322	5138
873	35362	5098
874	35403	5057
875	35443	5017
876	35483	4976
877	35528	4936
878	35569	4896
879	35608	4855
880	35647	4815
881	35686	4774
882	35725	4733
883	35764	4693
884	35803	4652
885	35841	4611
886	35884	4571
887	35926	4531
888	35965	4490
889	36005	4450
890	36044	4409
891	36086	4369
892	36125	4328
893	36166	4288
894	36204	4247
895	36240	4206
896	36278	4165
897	36317	4125
898	36355	4084
899	36391	4043
900	36430	4002
901	36473	3962
902	36516	3922
903	36555	3881
904	36594	3841
905	36637	3801
906	36678	3760
907	36719	3720
908	36759	3679
909	36797	3639
910	36837	3598
911	36876	3558
912	36914	3517
913	36956	3477
914	36993	3436
915	37034	3396
916	37074	3355
917	37115	3315
918	37155	3274
919	37192	3234
920	37231	3193
921	37271	3153
922	37310	3112
923	37349	3072
924	37396	3032
925	37434	2991
926	37473	2950
927	37518	2910
928	37556	2870
929	37594	2829
930	37635	2789
931	37674	2748
932	37711	2708
933	37750	2667
934	37789	2627
935	37827	2586
936	37870	2546
937	37909	2505
938	37949	2465
939	37987	2424
940	38028	2384
941	38069	2344
942	38109	2303
943	38148	2263
944	38189	2222
945	38229	2182
946	38267	2141
947	38309	2101
948	38352	2061
949	38392	2020
950	38433	1980
951	38472	1939
952	38510	1899
953	38550	1858
954	38590	1818
955	38637	1778
956	38676	1737
957	38716	1697
958	38756	1656
959	38798	1616
960	38839	1576
961	38879	1535
962	38918	1495
963	38959	1454
964	38999	1414
965	39038	1374
966	39077	1333
967	39116	1293
968	39155	1252
969	39193	1212
970	39232	1171
971	39271	1131
972	39310	1090
973	39348	1050
974	39385	1009
975	39424	969
976	39462	929
977	39501	888
978	39540	848
979	39583	807
980	39623	767
981	39663	727
982	39701	686
983	39742	646
984	39780	605
985	39819	565
986	39859	524
987	39897	484
988	39935	444
989	39973	403
990	40013	363
991	40051	322
992	40090	282
993	40129	242
994	40168	201
995	40208	161
996	40246	121
997	40284	80
998	40323	40
999	40363	0
